DATE,USER_ID,AD_SPEND
6/1/23,3,4.42
6/1/23,79,9.81
6/1/23,75,5.16
6/1/23,76,5.72
6/1/23,100,2.63
6/1/23,198,5.62
6/1/23,130,14.99
6/1/23,254,5.24
6/1/23,166,4.12
6/1/23,324,5.16
6/1/23,168,3.73
6/1/23,338,7.11
6/1/23,340,12.36
6/1/23,394,5.24
6/1/23,404,4.68
6/1/23,465,3.74
6/1/23,303,5.16
6/1/23,266,3.17
6/1/23,520,5.72
6/1/23,26,2.63
6/1/23,298,2.63
6/1/23,299,4.12
6/1/23,334,5.72
6/1/23,651,5.24
6/1/23,653,3.46
6/1/23,365,5.72
6/1/23,712,4.34
6/1/23,367,5.47
6/1/23,713,3.18
6/1/23,715,5.16
6/1/23,771,5.65
6/1/23,775,5.72
6/1/23,777,3.93
6/1/23,428,4.49
6/1/23,835,14.24
6/1/23,895,3.82
6/1/23,461,2.63
6/1/23,897,6.29
6/1/23,957,5.24
6/1/23,495,4.79
6/1/23,64,3.74
6/1/23,1023,5.06
6/1/23,1078,5.72
6/1/23,558,3.74
6/1/23,630,3.92
6/1/23,1218,3.78
6/1/23,667,5.24
6/1/23,671,5.47
6/1/23,706,5.16
6/1/23,1360,5.72
6/1/23,709,5.24
6/1/23,1364,6.21
6/1/23,1418,5.72
6/1/23,740,3.67
6/1/23,1420,3.37
6/1/23,728,4.34
6/1/23,1423,3.17
6/1/23,1425,5.16
6/1/23,1551,5.16
6/1/23,813,7.88
6/1/23,1553,4.12
6/1/23,819,4.68
6/1/23,849,5.47
6/1/23,1679,5.54
6/1/23,883,4.49
6/1/23,884,2.88
6/1/23,1698,4.99
6/1/23,1744,3.74
6/1/23,1789,5.72
6/1/23,966,5.24
6/1/23,1832,3.56
6/1/23,1834,4.43
6/1/23,1878,5.16
6/1/23,1022,2.63
6/1/23,1927,5.99
6/1/23,1024,5.47
6/1/23,1027,3.63
6/1/23,1053,14.99
6/1/23,1985,5.72
6/1/23,1056,5.17
6/1/23,1991,13.19
6/1/23,1088,6.74
6/1/23,2053,2.77
6/1/23,1090,4.57
6/1/23,2055,4.68
6/1/23,2111,2.63
6/1/23,2172,2.63
6/1/23,2174,3.74
6/1/23,1156,5.99
6/1/23,1190,9.36
6/1/23,2240,4.49
6/1/23,2242,2.63
6/1/23,1192,4.34
6/1/23,2247,2.92
6/1/23,2314,4.99
6/1/23,2316,2.63
6/1/23,2319,5.24
6/1/23,2372,2.63
6/1/23,1289,3.17
6/1/23,2418,4.31
6/1/23,1291,5.72
6/1/23,2420,2.63
6/1/23,1293,3.78
6/1/23,1294,3.74
6/1/23,2424,3.73
6/1/23,2475,4.38
6/1/23,2477,5.24
6/1/23,1326,3.74
6/1/23,2483,5.16
6/1/23,2485,3.92
6/1/23,2547,3.07
6/1/23,1390,3.78
6/1/23,1391,5.24
6/1/23,2600,9.98
6/1/23,1392,3.46
6/1/23,1395,5.24
6/1/23,2032,2.63
6/1/23,2651,5.24
6/1/23,1425,4.98
6/1/23,2701,3.17
6/1/23,1455,4.79
6/1/23,2707,5.16
6/1/23,1487,5.72
6/1/23,2759,4.49
6/1/23,1488,3.92
6/1/23,1490,5.31
6/1/23,2765,3.92
6/1/23,1553,10.5
6/1/23,1554,5.99
6/1/23,2878,5.72
6/1/23,1591,5.47
6/1/23,424,5.16
6/1/23,2944,6.74
6/1/23,2948,3.56
6/1/23,3002,4.79
6/1/23,3004,3.56
6/1/23,1626,3.17
6/1/23,1663,3.92
6/1/23,3118,5.72
6/1/23,1693,5.54
6/1/23,1729,5.72
6/1/23,1761,5.16
6/1/23,3284,5.72
6/1/23,1826,2.88
6/1/23,3351,10.32
6/1/23,1831,3.74
6/1/23,3355,5.16
6/1/23,3403,4.94
6/1/23,1860,4.87
6/1/23,3405,4.01
6/1/23,3463,4.34
6/1/23,1893,4.68
6/1/23,3465,3.89
6/1/23,3523,7.56
6/1/23,1954,3.35
6/1/23,1955,4.57
6/1/23,3619,3.92
6/1/23,3622,3.17
6/1/23,3626,3.18
6/1/23,3677,4.68
6/1/23,3741,5.62
6/1/23,3744,3.17
6/1/23,2051,3.35
6/1/23,2052,3.56
6/1/23,3808,5.24
6/1/23,2089,5.24
6/1/23,2090,3.18
6/1/23,2093,5.72
6/2/23,1,5.72
6/2/23,2,4.87
6/2/23,3,5.72
6/2/23,4,5.43
6/2/23,87,2.63
6/2/23,45,3.17
6/2/23,73,4.49
6/2/23,74,5.72
6/2/23,194,4.42
6/2/23,101,5.24
6/2/23,202,5.16
6/2/23,129,5.87
6/2/23,252,5.24
6/2/23,131,4.38
6/2/23,326,2.63
6/2/23,169,4.49
6/2/23,170,3.89
6/2/23,332,5.99
6/2/23,172,2.63
6/2/23,173,5.72
6/2/23,175,4.12
6/2/23,176,6.67
6/2/23,203,4.39
6/2/23,396,4.23
6/2/23,400,10.49
6/2/23,402,4.49
6/2/23,207,4.34
6/2/23,406,5.72
6/2/23,239,5.54
6/2/23,240,2.63
6/2/23,265,4.49
6/2/23,579,16.04
6/2/23,585,5.72
6/2/23,587,5.47
6/2/23,645,5.24
6/2/23,333,4.34
6/2/23,364,12.97
6/2/23,366,4.68
6/2/23,368,14.99
6/2/23,769,3.73
6/2/23,397,2.63
6/2/23,839,3.82
6/2/23,493,12.71
6/2/23,494,5.24
6/2/23,225,3.74
6/2/23,496,5.24
6/2/23,498,9.81
6/2/23,529,3.17
6/2/23,1025,5.72
6/2/23,530,4.49
6/2/23,1080,2.63
6/2/23,1084,4.42
6/2/23,561,5.17
6/2/23,598,4.23
6/2/23,1156,3.74
6/2/23,599,5.25
6/2/23,629,3.92
6/2/23,1213,41.6
6/2/23,1214,5.24
6/2/23,637,4.34
6/2/23,1278,3.35
6/2/23,665,5.72
6/2/23,666,20.75
6/2/23,1284,5.16
6/2/23,669,4.49
6/2/23,707,3.78
6/2/23,708,4.99
6/2/23,1362,4.31
6/2/23,749,3.18
6/2/23,1486,4.57
6/2/23,1549,12.07
6/2/23,812,4.79
6/2/23,458,5.02
6/2/23,817,5.24
6/2/23,1558,3.35
6/2/23,1617,4.39
6/2/23,853,5.62
6/2/23,882,5.72
6/2/23,1683,5.72
6/2/23,1685,2.63
6/2/23,1687,5.24
6/2/23,887,3.74
6/2/23,916,13.34
6/2/23,917,3.93
6/2/23,1746,3.92
6/2/23,943,3.78
6/2/23,1791,5.47
6/2/23,967,5.72
6/2/23,970,2.63
6/2/23,1023,5.99
6/2/23,1929,4.94
6/2/23,1025,5.72
6/2/23,1931,4.79
6/2/23,872,12.97
6/2/23,1989,3.17
6/2/23,1993,5.02
6/2/23,1999,3.97
6/2/23,1089,4.16
6/2/23,1091,12.97
6/2/23,1121,4.23
6/2/23,209,5.72
6/2/23,1189,14.99
6/2/23,2238,6.74
6/2/23,1193,3.73
6/2/23,2245,13.27
6/2/23,2312,5.72
6/2/23,1262,5.39
6/2/23,1263,3.67
6/2/23,2416,5.62
6/2/23,2427,3.52
6/2/23,2481,3.93
6/2/23,1358,5.65
6/2/23,2549,8.46
6/2/23,1905,4.19
6/2/23,1393,3.17
6/2/23,492,5.72
6/2/23,1423,3.17
6/2/23,1424,6.07
6/2/23,2655,5.24
6/2/23,2714,5.17
6/2/23,1461,2.63
6/2/23,2761,4.49
6/2/23,2763,5.24
6/2/23,1491,2.63
6/2/23,1492,2.63
6/2/23,2780,4.49
6/2/23,1517,5.72
6/2/23,1518,5.47
6/2/23,1520,5.24
6/2/23,135,4.34
6/2/23,1557,5.24
6/2/23,1592,5.16
6/2/23,1623,2.63
6/2/23,1625,3.74
6/2/23,1630,5.43
6/2/23,42,4.49
6/2/23,3066,4.19
6/2/23,1664,5.72
6/2/23,1665,3.56
6/2/23,3119,4.57
6/2/23,1728,5.16
6/2/23,3178,5.24
6/2/23,3180,3.67
6/2/23,3183,3.17
6/2/23,1732,6.18
6/2/23,3236,3.82
6/2/23,1789,5.24
6/2/23,1790,4.94
6/2/23,3286,4.34
6/2/23,1791,3.93
6/2/23,3288,5.53
6/2/23,1793,4.68
6/2/23,3291,5.24
6/2/23,3298,2.63
6/2/23,1827,6.74
6/2/23,1828,2.63
6/2/23,3349,5.24
6/2/23,1829,4.79
6/2/23,3353,3.56
6/2/23,1832,3.97
6/2/23,1834,4.87
6/2/23,3407,2.63
6/2/23,1862,5.72
6/2/23,3467,10.22
6/2/23,1927,3.82
6/2/23,2075,20.67
6/2/23,3577,4.34
6/2/23,3624,5.72
6/2/23,1984,7.26
6/2/23,3627,12.21
6/2/23,3673,5.99
6/2/23,3675,5.77
6/2/23,2012,10.86
6/2/23,354,4.12
6/2/23,3746,12.07
6/2/23,3748,9.81
6/2/23,2056,2.63
6/2/23,2057,2.63
6/2/23,3806,5.72
6/2/23,3810,2.63
6/2/23,3814,3.74
6/3/23,5,5.24
6/3/23,41,5.24
6/3/23,43,5.24
6/3/23,44,5.24
6/3/23,145,3.93
6/3/23,147,3.73
6/3/23,149,3.74
6/3/23,151,4.79
6/3/23,77,3.92
6/3/23,196,5.39
6/3/23,102,2.63
6/3/23,200,5.47
6/3/23,103,5.24
6/3/23,106,2.63
6/3/23,256,4.23
6/3/23,167,5.47
6/3/23,328,5.06
6/3/23,330,4.64
6/3/23,334,3.17
6/3/23,204,4.49
6/3/23,205,3.44
6/3/23,209,5.24
6/3/23,238,4.94
6/3/23,467,13.79
6/3/23,469,3.18
6/3/23,241,5.24
6/3/23,264,4.12
6/3/23,269,3.74
6/3/23,581,4.68
6/3/23,300,5.16
6/3/23,589,6.74
6/3/23,647,5.24
6/3/23,649,4.49
6/3/23,336,5.24
6/3/23,655,3.74
6/3/23,708,4.79
6/3/23,710,5.72
6/3/23,369,5.62
6/3/23,396,2.63
6/3/23,398,5.72
6/3/23,429,5.65
6/3/23,462,5.02
6/3/23,899,5.72
6/3/23,465,3.56
6/3/23,907,2.63
6/3/23,959,9.36
6/3/23,497,10.86
6/3/23,528,5.24
6/3/23,531,2.63
6/3/23,1031,6.14
6/3/23,1033,3.74
6/3/23,534,4.87
6/3/23,556,5.24
6/3/23,557,5.72
6/3/23,1082,2.63
6/3/23,559,4.68
6/3/23,560,2.63
6/3/23,1088,3.56
6/3/23,1093,3.73
6/3/23,1101,5.16
6/3/23,601,5.16
6/3/23,1160,2.9
6/3/23,631,4.12
6/3/23,1216,5.24
6/3/23,632,4.49
6/3/23,1222,2.63
6/3/23,1224,9.36
6/3/23,1280,4.49
6/3/23,1282,4.42
6/3/23,1286,4.42
6/3/23,670,5.16
6/3/23,1292,2.63
6/3/23,1294,5.16
6/3/23,1358,2.63
6/3/23,1366,6.36
6/3/23,1370,3.93
6/3/23,739,3.74
6/3/23,741,4.01
6/3/23,743,5.77
6/3/23,744,3.67
6/3/23,1428,4.31
6/3/23,1484,4.98
6/3/23,777,5.81
6/3/23,779,4.68
6/3/23,814,4.34
6/3/23,1554,6.89
6/3/23,1556,5.24
6/3/23,816,4.87
6/3/23,820,3.14
6/3/23,847,5.72
6/3/23,1613,6.36
